abc,B,C,D,E,F
computer,0.538,0.368,0.258,0.286,0.284
money,0.8460000000000001,0.41200000000000003,0.384,0.404,0.40599999999999997
sad,0.22599999999999998,0.462,0.8699999999999999,0.45599999999999996,0.32999999999999996
love slow,0.622,0.391,0.40499999999999997,0.374,0.30700000000000005
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
computer,0.538,0.368,0.258,0.286,0.284
pleasure,0.952,0.22200000000000003,0.22200000000000003,0.252,0.244
complete natural python,0.45500000000000007,0.30599999999999994,0.293,0.5029999999999999,0.37300000000000005
answer,0.47000000000000003,0.284,0.27,0.3,0.22200000000000003
mail,0.708,0.27599999999999997,0.27,0.284,0.23399999999999999
safe like,0.8240000000000001,0.20400000000000001,0.21800000000000003,0.272,0.20600000000000002
much slow,0.15,0.221,0.189,0.16899999999999998,0.185
slow,0.3,0.442,0.378,0.33799999999999997,0.37
quite time,0.5860000000000001,0.6439999999999999,0.61,0.568,0.736
rotten,0.202,0.40199999999999997,0.354,0.388,0.808
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
love,0.944,0.33999999999999997,0.43200000000000005,0.41,0.244
quick,0.506,0.266,0.262,0.282,0.22799999999999998
computer,0.538,0.368,0.258,0.286,0.284
advantage,0.6759999999999999,0.294,0.252,0.264,0.248
cash machine,0.5980000000000001,0.329,0.293,0.346,0.29900000000000004
too,0,0,0,0,0
like,0,0,0,0,0
not red,0.542,0.53,0.718,0.612,0.736
more,0,0,0,0,0
free cash machine,0.6893333333333334,0.296,0.272,0.31933333333333336,0.272
more,0,0,0,0,0
world fire,0.43100000000000005,0.413,0.477,0.529,0.33799999999999997
more,0,0,0,0,0
not,0,0,0,0,0
suck not,0,0,0,0,0
much more secure,0.40599999999999997,0.11299999999999999,0.129,0.151,0.11399999999999999
more,0,0,0,0,0
more,0,0,0,0,0
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
free,0.8720000000000001,0.22999999999999998,0.22999999999999998,0.266,0.21800000000000003
