A,B,C,D,E,F
 trounce plugin hybrid,0.5045239922304527,0.4541667987489712,0.4815239661563786,0.49223822748971197,0.4058810790452675
 kelley,0.2896349328153635,0.1866111199165981,0.23676826441042523,0.18948254849931415,0.17272540526968452
 seller trashes easily,0.2896349328153635,0.1866111199165981,0.23676826441042523,0.18948254849931415,0.17272540526968452
 whats struggles,0.2896349328153635,0.1866111199165981,0.23676826441042523,0.18948254849931415,0.17272540526968452
 notice,0.2896349328153635,0.1866111199165981,0.23676826441042523,0.18948254849931415,0.17272540526968452
,0.2896349328153635,0.1866111199165981,0.23676826441042523,0.18948254849931415,0.17272540526968452
 kelley,0.2753089955210243,0.16877407466110655,0.22045121762736167,0.16929883656662092,0.15718169368464566
 leader movement norway,0.2817654497760512,0.15468870373305532,0.15202256088136806,0.15946494182833107,0.14010908468423228
,0.2817654497760512,0.15468870373305532,0.15202256088136806,0.15946494182833107,0.14010908468423228
 leader movement norway,0.2820882724888025,0.15398443518665275,0.1486011280440684,0.15897324709141655,0.1392554542342116
 leader movement norway,0.2821044136244401,0.15394922175933265,0.14843005640220341,0.15894866235457084,0.13921277271171056
 kelley,0.274806960908296,0.16659661478395552,0.21456200376014686,0.16726324415697139,0.15494751818078073
 inside teslas production,0.31298069609082957,0.26715966147839554,0.28595620037601466,0.31072632441569714,0.22149475181807804
 trounce plugin hybrid,0.5129806960908296,0.46715966147839555,0.48595620037601467,0.5107263244156972,0.42149475181807805
 actually flying,0.5129806960908296,0.46715966147839555,0.48595620037601467,0.5107263244156972,0.42149475181807805
,0.5129806960908296,0.46715966147839555,0.48595620037601467,0.5107263244156972,0.42149475181807805
 (discover genius within),0.5129806960908296,0.46715966147839555,0.48595620037601467,0.5107263244156972,0.42149475181807805
 (discover genius within),0.5129806960908296,0.46715966147839555,0.48595620037601467,0.5107263244156972,0.42149475181807805
