abc,1,2,3,4,5 
extension freely available,0,0,0,0,0
 extension freely available,0,0,0,0,0
 extension freely available,0,0,0,0,0
 extension freely available,0,0,0,0,0
 extension freely available,0,0,0,0,0
 cryptotab browser browser,0.897,0.49349999999999994,0.43949999999999995,0.519,0.4485
 animal firefox,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 attacks,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 releases(android android) contains,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 extension freely available,0.5614,0.46869999999999995,0.6458999999999999,0.5558,0.6657
 details,0.7614000000000001,0.6687,0.8458999999999999,0.7558,0.8656999999999999
 extension freely available,0.7614000000000001,0.6687,0.8458999999999999,0.7558,0.8656999999999999
 extension freely available,0.7614000000000001,0.6687,0.8458999999999999,0.7558,0.8656999999999999
 extension freely available,0.7614000000000001,0.6687,0.8458999999999999,0.7558,0.8656999999999999
 update cryptotab browser,0.39542666666666665,0.19258,0.19239333333333333,0.21005333333333334,0.19371333333333332
 extension freely available,0.39542666666666665,0.19258,0.19239333333333333,0.21005333333333334,0.19371333333333332
 extension freely available,0.39542666666666665,0.19258,0.19239333333333333,0.21005333333333334,0.19371333333333332
 extension freely available,0.39542666666666665,0.19258,0.19239333333333333,0.21005333333333334,0.19371333333333332
 update cryptotab browser,0.37102844444444444,0.16083866666666669,0.14882622222222222,0.17367022222222223,0.14891422222222223
 details,0.5710284444444444,0.3608386666666667,0.34882622222222226,0.37367022222222224,0.34891422222222224
